body,link,title
"El Gobierno de Díaz Ayuso asegura que no tiene las suficientes unidades, pese a que solo 812 personas han recibido las dos, y se centra en las residencias ",https://elpais.com/espana/madrid/2021-01-21/madrid-deja-de-vacunar-a-sanitarios-de-primera-linea.html,Madrid deja de vacunar a sanitarios de primera línea 
Todo el bloque conservador y cuatro vocales progresistas suscriben una declaración crítica con la actuación del Congreso,https://elpais.com/espana/2021-01-21/el-poder-judicial-acusa-a-psoe-y-podemos-de-violar-la-separacion-de-poderes-con-la-reforma-legal-que-limita-sus-competencias.html,El Poder Judicial acusa a PSOE y Podemos de violar la separación de poderes con la reforma legal que limita sus competencias
"El número de extranjeros sin techo y sin medios se ha disparado en el último mes y medio, y los altercados, aunque aislados, corren como la pólvora por las redes y sirven de munición xenófoba",https://elpais.com/espana/2021-01-21/el-embudo-migratorio-en-canarias-tensa-la-convivencia-en-las-islas.html,El embudo migratorio en Canarias tensa la convivencia en las islas
La vicepresidenta se casó entrados los 40 años con este abogado divorciado y padre de dos hijos adolescentes que ha dejado su profesión para acompañarla en su misión,https://elpais.com/gente/2021-01-21/la-historia-de-amor-de-kamala-harris-y-douglas-emhoff-convertido-en-el-segundo-caballero-de-ee-uu.html,"La historia de amor de Kamala Harris y Douglas Emhoff, convertido en el segundo caballero de EE UU"
Londres no reconoce a la Unión Europea como una organización internacional convencional ,https://elpais.com/internacional/2021-01-21/el-gobierno-de-johnson-se-resiste-a-dar-estatus-diplomatico-a-los-representantes-de-la-ue.html,El Gobierno de Johnson se resiste a dar estatus diplomático a los representantes de la UE
La presidencia de Biden es la oportunidad para que las democracias hallen un nuevo camino de eficacia política y capitalismo inclusivo ,https://elpais.com/internacional/elecciones-usa/2021-01-20/la-reconstruccion-de-occidente.html,La reconstrucción de Occidente 
"La realizadora nigerina, hija del escritor panafricanista Mamani Abdoulaye, gana el premio al mejor largometraje en la 11ª edición del Festival de Cine Documental de Saint Louis, Senegal, con una película en la que traza el recorrido político silenciado de su progenitor",https://elpais.com/planeta-futuro/2021-01-21/por-que-no-conozco-a-mi-padre.html,Amina Abdoulaye Mamani: ¿Por qué no conozco a mi padre?
"Dos centros de investigación periodística latinoamericanos, ‘Heraldo de Aragón’, la periodista Mónica González y la fotógrafa María de Jesús Peters reciben el galardón",https://elpais.com/sociedad/2020-11-19/la-voz-de-los-olvidados.html,La voz de los olvidados
El presidente firma una quincena de órdenes ejecutivas para reforzar la respuesta a la emergencia y un proyecto de reforma migratoria,https://elpais.com/internacional/elecciones-usa/2021-01-20/biden-inicia-su-mandato-con-un-golpe-de-timon-en-la-gestion-de-la-pandemia.html,"Las primeras medidas de Biden: vuelta a la OMS, al Acuerdo del Clima de París y parar el muro de México"
"Varios colaboradores del opositor, detenidos y acusados de incitar a las protestas. Las autoridades afirman que las movilizaciones, que han vetado, se alientan desde el exterior",https://elpais.com/internacional/2021-01-21/rusia-exige-a-las-redes-sociales-que-bloqueen-las-llamadas-a-manifestarse-a-favor-de-navalni.html,Rusia exige a las redes sociales que bloqueen las llamadas a manifestarse a favor de Navalni
"La princesa concede una inusual  entrevista en la revista francesa ‘Point de Vue’, donde revela algunos detalles familiares y asegura ser feliz “tal como soy”",https://elpais.com/gente/2021-01-21/charlene-de-monaco-estoy-a-mil-por-ciento-con-mi-marido.html,Charlène de Mónaco: “Estoy al mil por ciento con mi marido”
"Lo que para el resto es un placer, a los hipocondríacos sexuales solo les inspira miedo y precauciones irracionales ",https://elpais.com/buenavida/bienestar/2021-01-20/asi-matan-el-climax-las-infecciones-de-transmision-sexual-incluso-antes-de-mantener-una-relacion.html,Así matan el clímax las infecciones de transmisión sexual incluso antes de mantener una relación
Tres nuevas variantes del virus podrían ser más contagiosas y capaces de reinfectar gracias a una combinación similar de alteraciones en su genoma,https://elpais.com/ciencia/2021-01-20/nelly-y-erik-las-inquietantes-mutaciones-del-coronavirus-que-amenazan-con-empeorar-la-pandemia.html,"Nelly y Erik, las inquietantes mutaciones del coronavirus que amenazan con empeorar la pandemia"
"Colombia supera la tasa de una muerte por cada mil habitantes en mitad de una segunda ola tan intensa como la primera, con más equipamiento pero sin inmunidad, ni vacunación en marcha, ni dirección política clara",https://elpais.com/sociedad/2021-01-21/50000-vidas-menos-en-diez-meses-la-trayectoria-del-virus-en-colombia.html,50.000 vidas menos en diez meses: la trayectoria del virus en Colombia
"La escritora londinense se da cita con el rapero en un restaurante neoyorquino para hablar de rap, fama y racismo. Este artículo forma parte de ‘Con total libertad’, recopilación de sus artículos y ensayos que llega esta semana a las librerías",https://elpais.com/babelia/2021-01-21/la-casa-que-jayhova-construyo.html,La casa que Jay/Hova construyó
"La cantante neoyorquina ya cantó en el último acto de la campaña electoral de Biden, y ahora vuelve a volcarse con el demócrata",https://elpais.com/internacional/elecciones-usa/2021-01-20/video-lady-gaga-canta-el-himno-de-estados-unidos-en-la-toma-de-posesion-de-biden-como-presidente-de-estados-unidos.html,Vídeo | Lady Gaga canta el himno de Estados Unidos en la toma de posesión de Biden 
Este drama noruego trata de forma tediosamente reiterativa de ese maldito depredador llamado cáncer. Empiezo y acabo harto y horrorizado de tumores,https://elpais.com/cultura/2021-01-21/que-he-hecho-yo-para-merecer-esto.html,¿Qué he hecho yo para merecer esto?
"Si la piscina no tiene agua, lo más prudente es no tirarse. Si la empresa es solvente, puede ser un paso adelante aunque conserves el mismo salario",https://elpais.com/buenavida/bienestar/2021-01-11/si-lo-mereces-callarte-puede-ser-la-peor-opcion-asi-se-pide-un-aumento-de-sueldo-en-plena-pandemia.html,"Si lo mereces, callarte puede ser la peor opción: así se pide un aumento de sueldo en plena pandemia"
