uid|body|link|title|newspaper_uid|host|n_tokenize_title|n_tokenize_body
f36be9601889d805a9133693088977f1|El problema de seguridad en la plataforma de visas electrónicas de la Cancillería de colombiana que expuso los datos de al menos 550.000 extranjeros que han solicitado una visa fue resuelto este sábado, según informó el Ministerio de Relaciones Exteriores.|https://www.eluniversal.com.co/colombia/cancilleria-da-por-resuelta-falla-que-expuso-datos-de-extranjeros-HD4050678|Cancillería da por resuelta falla que expuso datos de extranjeros|eluniversal|www.eluniversal.com.co|7|20
107c68877375417b865c6548ef9bfdf5|La Fundación Cívica Por Cartagena (Funcicar) conoció que el pasado 25 de noviembre de 2020 la Alcaldía de Cartagena celebró un contrato para un crédito público por $80 mil millones, el cual tiene como objeto suplir “la insuficiencia de caja de carácter temporal derivada de la caída de los ingresos corrientes y la presión de la liquidez ocasionada por la crisis de la pandemia COVID-19”.|https://www.eluniversal.com.co/politica/alcaldia-solicito-credito-de-80-mil-millones-para-financiar-el-presupuesto-KA4046509|Alcaldía solicitó crédito de $80 mil millones para financiar el presupuesto|eluniversal|www.eluniversal.com.co|7|30
8b6c3d5c876c13938347fa3137abe717|Casi siempre ante las dificultades que se nos presentan en la vida buscamos un culpable y muy pocas veces nos ponemos a pensar que cada quien le aporta a los problemas, lo que ha construido en su interior, bien sea alegría, paz, amor... o rencor, pesimismo, angustia y dolor.|https://www.eluniversal.com.co/viernes/que-llevas-en-tu-taza-IC4040039|¿Qué llevas en tu taza?|eluniversal|www.eluniversal.com.co|2|24
74701b2350909ccdffa2bf98a86e05b6|Las fuerzas de seguridad de Guatemala continúan este sábado con sus intentos de detener a una caravana migrante compuesta por más de 9.000 hondureños, quienes pretenden llegar a Estados Unidos en busca del sueño americano.|https://www.eluniversal.com.co/mundo/nueva-caravana-de-migrantes-avanza-imparable-hacia-eeuu-IC4051291|Nueva caravana de migrantes avanza imparable hacia EEUU|eluniversal|www.eluniversal.com.co|7|17
ea6b565979989fa0daab6e0bbf54812d|En nuestra ciudad tenemos personas que ante la indisciplina social ya no pueden más. Prefieren estar solos frente a los riesgos, no preocuparse de nadie ni que nadie se preocupe de ellos. Hay fatiga. ¿Cómo podríamos entender a las personas que no usan el tapabocas ni respetan norma alguna; que no valoran los acuerdos que regulan la convivencia; que les importa poco si los suyos se contagian y mueren; que jamás agradecerán la entrega del personal médico de primera línea y que lo único que les importa son las rumbas donde todo se vale?|https://www.eluniversal.com.co/opinion/columna/vayamos-a-las-raices-MC4051439|¡Vayamos a las raíces!|eluniversal|www.eluniversal.com.co|1|41
f50c99e116d51741709ac682f4ac7a7a|Merecidas o no cada año tenemos que recibir las diatribas de algún personaje foráneo de esos que vienen a la ciudad a divertirse de lo lindo, haciendo cosas que no harían en su tierra, a tomarse fotos frente a las murallas o con las palenqueras de coloridos trajes y otras linduras que las tomamos como excentricidades inofensivas sin darnos cuenta que somos, de una u otra forma, cómplices pasivos de todas las situaciones descritas por tan ilustres detractores, que en algunas ocasiones hacen parte del centralismo que nos agobia desde hace mucho tiempo. Nada de esto conmueve a los padres de la patria oriundos de la región que deberían tomar ejemplo de los parlamentarios de otras ciudades que no es del caso mencionarlas.|https://www.eluniversal.com.co/opinion/columna/pasividad-y-complicidad-AK4048398|Pasividad y complicidad|eluniversal|www.eluniversal.com.co|2|58
315b91d6c169c4289003cd441c7cb3dd|Si hay algo que ha caracterizado la carrera musical de Koffee, el Kafetero, es que nunca le ha temido a los retos. El cantante de champeta siempre busca apostarle a nuevos sonidos y su más reciente sencillo no ha sido la excepción. Hace más de un mes, el intérprete de ‘El chicle’ tomó un vuelo con destino a México, manteniendo todos los protocolos de bioseguridad, llegó hasta tierra azteca para trabajar de la mano del reconocido artista de ranchera, Pancho Uresti, en una unión que ha causado revuelo en toda Latinoamérica.|https://www.eluniversal.com.co/farandula/el-sabroso-de-koffee-el-kafetero-y-pancho-uresti-es-todo-un-exito-IL4049864|‘El sabroso’ de Koffee, el Kafetero y Pancho Uresti es todo un éxito|eluniversal|www.eluniversal.com.co|6|46
c86e377da42cc492c48a657fefc0ff81|Manish Kumar, un trabajador sanitario del hospital público AIIMS de Nueva Delhi, se convirtió este sábado en la primera persona vacunada contra el coronavirus en la India, tras el arranque de “la mayor campaña de vacunación del mundo” contra la covid-19 en este país de 1.350 millones de habitantes.|https://www.eluniversal.com.co/mundo/india-arranca-la-mayor-campana-de-vacunacion-del-mundo-contra-la-covid-YC4051155|India arranca “la mayor campaña de vacunación del mundo” contra la COVID|eluniversal|www.eluniversal.com.co|7|25
cf0afc44229330ae841c8b8559167f76|“Cuando nosotros observemos que en el territorio nacional haya funcionarios diplomáticos, sea del país que sea, que estén actuando contrario al espíritu de la Convención de Viena sobre las relaciones internacionales, procederemos a solicitar su expulsión”.|https://www.eluniversal.com.co/colombia/nueva-advertencia-de-duque-a-diplomaticos-que-violen-la-convencion-de-viena-EC4051125|Nueva advertencia de Duque a diplomáticos que violen la convención de Viena|eluniversal|www.eluniversal.com.co|7|16
141c0d8e80199778ce20aacd24e29a6b|En el 2020 las compras de frutas de palma de aceite de la Planta Extractora de Aceite de Marialabaja alcanzaron los 65 mil millones de pesos.|https://www.eluniversal.com.co/economica/palma-de-aceite-motor-de-la-economia-de-marialabaja-HL4049944|La palma de aceite acelera la economía de Marialabaja|eluniversal|www.eluniversal.com.co|5|12
